"meta:instanceID","id","Location:Latitude","Location:Longitude","Location:Altitude","Location:Accuracy","Picture","notes","endtime"
"uuid:97b2e19e-f64a-43ee-8c7c-a5a851fcbbd6","14","39.2533449000","-76.6443676100","9.0000000000","5.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A97b2e19e-f64a-43ee-8c7c-a5a851fcbbd6%5D%2FPicture","Lakeland school","Tue May 22 19:13:26 UTC 2018"
"uuid:17d4a236-c350-429f-9502-3379564862ad","46","39.2533862500","-76.6443607500","8.0000000000","5.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A17d4a236-c350-429f-9502-3379564862ad%5D%2FPicture","Lakeland School","Tue May 22 19:22:21 UTC 2018"
"uuid:e54b24f7-c39a-4f22-90ac-a32b7cd00b34","99","39.2533580900","-76.6443346600","10.0000000000","4.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae54b24f7-c39a-4f22-90ac-a32b7cd00b34%5D%2FPicture","Lakeland School","Tue May 22 19:25:59 UTC 2018"
"uuid:258be877-e124-4b4b-8169-42e8f0661aca","22","39.2854704100","-76.5562131200","-1.0000000000","10.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A258be877-e124-4b4b-8169-42e8f0661aca%5D%2FPicture","Bekah's house","Tue May 22 22:59:49 UTC 2018"
"uuid:1a41111e-55c3-43e5-9f9d-873edf85b012","80","39.2853723600","-76.5560395500","1.0000000000","5.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1a41111e-55c3-43e5-9f9d-873edf85b012%5D%2FPicture","Bekah's house","Tue May 22 23:07:47 UTC 2018"
"uuid:d1e44dd4-297f-4bf7-8e78-0bdd60c84a12","83","39.2855587900","-76.5560087600","-26.0000000000","5.0000000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ad1e44dd4-297f-4bf7-8e78-0bdd60c84a12%5D%2FPicture","Bekah's house","Tue May 22 23:13:48 UTC 2018"
"uuid:34842a6a-7f6a-4c88-9bfb-a604d21ea81d","92","39.1756054200","-76.5224764300","-23.1891479492","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A34842a6a-7f6a-4c88-9bfb-a604d21ea81d%5D%2FPicture","Stoney Beach Pool","Mon May 21 20:46:14 UTC 2018"
"uuid:97ffdcb5-2ebd-4bd2-a83f-2866efc4a6d2","98","39.2690264900","-76.6053463700","-23.1107177734","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A97ffdcb5-2ebd-4bd2-a83f-2866efc4a6d2%5D%2FPicture","Jim's House","Thu May 24 21:28:55 UTC 2018"
"uuid:21411264-7c4a-483d-b967-75c146b6f984","109","39.2690896900","-76.6052964700","-5.3579101563","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A21411264-7c4a-483d-b967-75c146b6f984%5D%2FPicture","Jim's House","Tue May 22 21:26:52 UTC 2018"
"uuid:961a087f-139c-4c0c-9a5a-b49027e5e000","72","39.2691105300","-76.6052827700","-7.0988464355","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A961a087f-139c-4c0c-9a5a-b49027e5e000%5D%2FPicture","Jim's House","Wed May 23 16:13:48 UTC 2018"
"uuid:246694e4-791e-4c05-9cb5-4964ab7ff140","70","39.2545193900","-76.7096498300","32.4214477539","6.4320000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A246694e4-791e-4c05-9cb5-4964ab7ff140%5D%2FPicture","umbc trailer near Physics building","Wed May 23 15:23:58 UTC 2018"
"uuid:f9a3e118-70a3-49ea-a7d6-2891a467f8a3","94","39.2545367700","-76.7096515400","14.4303588867","6.4320000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af9a3e118-70a3-49ea-a7d6-2891a467f8a3%5D%2FPicture","Lowest box in photo on trailer at UMBC by the physics building","Wed May 23 15:27:32 UTC 2018"
"uuid:959abfac-0bc2-4ed2-b03d-e3d0c8e7b4a3","67","39.0551812500","-76.8786418100","17.1619873047","3.2160000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A959abfac-0bc2-4ed2-b03d-e3d0c8e7b4a3%5D%2FPicture","mde","Wed May 23 16:10:50 UTC 2018"
"uuid:290c97ac-78e2-4c25-8535-1b0d39f1fc28","79","39.0551836900","-76.8786720400","7.0445861816","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A290c97ac-78e2-4c25-8535-1b0d39f1fc28%5D%2FPicture","mde","Wed May 23 16:11:40 UTC 2018"
"uuid:4aa4cdd3-e27e-4b0b-9dff-18ea5895d7c5","71","39.1756550700","-76.5224837700","-42.5745849609","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A4aa4cdd3-e27e-4b0b-9dff-18ea5895d7c5%5D%2FPicture","Stoneybeach Boatyard","Wed May 23 19:19:32 UTC 2018"
"uuid:e0625f74-20b1-46ac-84aa-2ffd67e9a80c","87","39.2427293300","-76.5105615700","-0.3072814941","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ae0625f74-20b1-46ac-84aa-2ffd67e9a80c%5D%2FPicture","Larry B's House Corner","Wed May 23 20:02:07 UTC 2018"
"uuid:78d73e7b-e223-4765-a999-c368ce0665e5","93","39.0551804400","-76.8786779700","19.0244140625","3.2160000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A78d73e7b-e223-4765-a999-c368ce0665e5%5D%2FPicture","Ume","Wed May 23 16:13:18 UTC 2018"
"uuid:1a2b2aa4-97b3-4a60-9db2-8e22d52832bf","106","39.0552049900","-76.8786975200","19.7873535156","3.2160000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A1a2b2aa4-97b3-4a60-9db2-8e22d52832bf%5D%2FPicture","Ume","Wed May 23 16:14:19 UTC 2018"
"uuid:b60df67a-63a4-4b7a-8012-1a6fc7dce29e","104","39.0551896300","-76.8786152700","27.5315551758","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ab60df67a-63a4-4b7a-8012-1a6fc7dce29e%5D%2FPicture","Ume","Wed May 23 16:21:22 UTC 2018"
"uuid:2eb9487d-1abf-4f79-9fb5-c30d74e9eda8","78","39.1755821000","-76.5224344900","-25.1261291504","3.2160000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A2eb9487d-1abf-4f79-9fb5-c30d74e9eda8%5D%2FPicture","Stoneybeach boat yard","Wed May 23 19:12:21 UTC 2018"
"uuid:9d0829d1-da6d-4a85-96b4-3150242a8f44","91","39.2427213500","-76.5104628800","-29.9186096191","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A9d0829d1-da6d-4a85-96b4-3150242a8f44%5D%2FPicture","Larry B's House Middle Plank","Wed May 23 20:19:12 UTC 2018"
"uuid:210be9e1-9dce-42e1-8b3e-1f2d34531fc0","82","39.2426791100","-76.5104635400","-28.3763732910","4.2880000000","https://bmorecoolodk.appspot.com/view/binaryData?blobKey=build_BaltimoreOpenAir2018_1526925226%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A210be9e1-9dce-42e1-8b3e-1f2d34531fc0%5D%2FPicture","Larry Bs house Stairs","Wed May 23 20:22:43 UTC 2018"
